huid,Block2020,blockid,bgid,tractid,FIPScounty,numprec,ownershp,race,hispan,family,vacancy,gqtype,incomegroup,hhinc,randincome,poverty,BLOCKID20_str,huicounter1,huicounter2,huicounter3,ownershp1,ownershp2,ownershp3,strctid,strctid_flagsetrm,strctid_Block2020_flagsetrm,addrptid,fd_id_bid,huestimate,huicounter_addpt,placeNAME20,x,y,occtype,geometry,index_right,Site_ID,Site_Name,benz_ppb_p100_ppb,Household Income Group,Race Ethnicity
,999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,nsi-481932061-76X8V2FW+2FJ-8-7-7-7,,,,,,REL1,POINT (-93.953852 29.872582),0.0,1.0,West Port Arthur - Foley Watershed,0.42123073,,
,999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,nsi-481932062-76X8V2FW+2FJ-8-7-7-7,,,,,,COM2,POINT (-93.953852 29.872582),0.0,1.0,West Port Arthur - Foley Watershed,0.42123073,,
B482450059001033H006,482450059001033,482450059001033,482450059001,48245005900,48245.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,6.0,3.0,31587.0,0.0,B482450059001033,1.0,2.0,3.0,1.0,1.0,1.0,ST00nsi-481932063-76X8V2FW+59J-2-2-2-2,1.0,1.0,ST00nsi-481932063-76X8V2FW+59J-2-2-2-2AP000000,nsi-481932063-76X8V2FW+59J-2-2-2-2,1.0,1.0,Port Arthur,-93.954114,29.872964,RES1-2SNB,POINT (-93.954114 29.872964),0.0,1.0,West Port Arthur - Foley Watershed,0.42123073,"3 $25,000 to $74,999","2 Black alone, Not Hispanic"
,999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,nsi-481932064-76X8V2FW+48G-4-4-4-4,,,,,,RES1-1SWB,POINT (-93.954171 29.872818),0.0,1.0,West Port Arthur - Foley Watershed,0.42123073,,
B482450059001033H007,482450059001033,482450059001033,482450059001,48245005900,48245.0,5.0,1.0,2.0,0.0,1.0,0.0,0.0,10.0,3.0,53540.0,0.0,B482450059001033,1.0,2.0,3.0,1.0,1.0,1.0,ST00nsi-481932065-76X8V2FW+37Q-4-4-3-4,1.0,1.0,ST00nsi-481932065-76X8V2FW+37Q-4-4-3-4AP000000,nsi-481932065-76X8V2FW+37Q-4-4-3-4,1.0,1.0,Port Arthur,-93.95428,29.872719,RES1-1SNB,POINT (-93.95428 29.872719),0.0,1.0,West Port Arthur - Foley Watershed,0.42123073,"3 $25,000 to $74,999","2 Black alone, Not Hispanic"
B482450059001033H003,482450059001033,482450059001033,482450059001,48245005900,48245.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,3395.0,1.0,B482450059001033,1.0,2.0,3.0,1.0,1.0,1.0,ST00nsi-481932066-76X8V2CW+X53-4-4-4-4,1.0,1.0,ST00nsi-481932066-76X8V2CW+X53-4-4-4-4AP000000,nsi-481932066-76X8V2CW+X53-4-4-4-4,1.0,1.0,Port Arthur,-93.954574,29.872391,RES1-1SNB,POINT (-93.954574 29.872391),0.0,1.0,West Port Arthur - Foley Watershed,0.42123073,"1 Less than $15,000","2 Black alone, Not Hispanic"
B482450059001033H005,482450059001033,482450059001033,482450059001,48245005900,48245.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,12.0,4.0,83559.0,0.0,B482450059001033,1.0,2.0,3.0,1.0,1.0,1.0,ST00nsi-481932067-76X8V2CV+QXW-2-2-1-2,1.0,1.0,ST00nsi-481932067-76X8V2CV+QXW-2-2-1-2AP000000,nsi-481932067-76X8V2CV+QXW-2-2-1-2,1.0,1.0,Port Arthur,-93.95505,29.871998,RES1-1SNB,POINT (-93.95505 29.871998),0.0,1.0,West Port Arthur - Foley Watershed,0.42123073,"4 $75,000 to $99,999","2 Black alone, Not Hispanic"
,999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,nsi-481932068-76X8V2CW+Q65-4-4-5-4,,,,,,COM8,POINT (-93.954401 29.871879),0.0,1.0,West Port Arthur - Foley Watershed,0.42123073,,
B482450059001033H001,482450059001033,482450059001033,482450059001,48245005900,48245.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,8.0,3.0,40072.0,0.0,B482450059001033,1.0,2.0,3.0,1.0,1.0,1.0,ST00nsi-481932069-76X8V2CV+PXJ-4-3-3-3,1.0,1.0,ST00nsi-481932069-76X8V2CV+PXJ-4-3-3-3AP000000,nsi-481932069-76X8V2CV+PXJ-4-3-3-3,1.0,1.0,Port Arthur,-93.955116,29.871846,RES1-1SNB,POINT (-93.955116 29.871846),0.0,1.0,West Port Arthur - Foley Watershed,0.42123073,"3 $25,000 to $74,999","2 Black alone, Not Hispanic"
,999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,nsi-481932070-76X8V2CW+P3C-2-2-2-2,,,,,,RES1-2SNB,POINT (-93.954861 29.871811),0.0,1.0,West Port Arthur - Foley Watershed,0.42123073,,
,999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,nsi-481932071-76X8V2CV+PW2-3-3-4-3,,,,,,RES1-1SNB,POINT (-93.955225 29.871751),0.0,1.0,West Port Arthur - Foley Watershed,0.42123073,,
B482450059001033H002,482450059001033,482450059001033,482450059001,48245005900,48245.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,6.0,3.0,30304.0,0.0,B482450059001033,1.0,2.0,3.0,1.0,1.0,1.0,ST00nsi-481932072-76X8V2CV+MV3-3-3-4-3,1.0,1.0,ST00nsi-481932072-76X8V2CV+MV3-3-3-4-3AP000000,nsi-481932072-76X8V2CV+MV3-3-3-4-3,1.0,1.0,Port Arthur,-93.955322,29.871629,RES1-1SNB,POINT (-93.955322 29.871629),0.0,1.0,West Port Arthur - Foley Watershed,0.42123073,"3 $25,000 to $74,999","2 Black alone, Not Hispanic"
B482450059001033H004,482450059001033,482450059001033,482450059001,48245005900,48245.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,5270.0,1.0,B482450059001033,1.0,2.0,3.0,1.0,1.0,1.0,ST00nsi-481932073-76X8V2FW+262-4-5-5-4,1.0,1.0,ST00nsi-481932073-76X8V2FW+262-4-5-5-4AP000000,nsi-481932073-76X8V2FW+262-4-5-5-4,1.0,1.0,Port Arthur,-93.954476,29.8725,RES1-1SNB,POINT (-93.954476 29.8725),0.0,1.0,West Port Arthur - Foley Watershed,0.42123073,"1 Less than $15,000","2 Black alone, Not Hispanic"
B482450051001024H014,482450051001024,482450051001024,482450051001,48245005100,48245.0,5.0,2.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,14018.0,1.0,B482450051001024,1.0,2.0,3.0,2.0,2.0,2.0,ST00nsi-482230611-76X8V363+FHG-3-3-2-2,1.0,1.0,ST00nsi-482230611-76X8V363+FHG-3-3-2-2AP000000,nsi-482230611-76X8V363+FHG-3-3-2-2,1.0,1.0,Port Arthur,-93.946034,29.861193,RES1-1SNB,POINT (-93.946034 29.861193),0.0,1.0,West Port Arthur - Foley Watershed,0.33738545,"1 Less than $15,000","2 Black alone, Not Hispanic"
B482450051001024H001,482450051001024,482450051001024,482450051001,48245005100,48245.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,15.0,5.0,187717.0,0.0,B482450051001024,1.0,2.0,3.0,1.0,1.0,1.0,ST00nsi-482230612-76X8V363+MQM-4-3-4-3,1.0,1.0,ST00nsi-482230612-76X8V363+MQM-4-3-4-3AP000000,nsi-482230612-76X8V363+MQM-4-3-4-3,1.0,1.0,Port Arthur,-93.945578,29.861717,RES1-1SNB,POINT (-93.945578 29.861717),0.0,1.0,West Port Arthur - Foley Watershed,0.33738545,"5 $100,000 or more","2 Black alone, Not Hispanic"
