huid,Block2020,blockid,bgid,tractid,FIPScounty,numprec,ownershp,race,hispan,family,vacancy,gqtype,incomegroup,hhinc,randincome,poverty,BLOCKID20_str,huicounter1,huicounter2,huicounter3,ownershp1,ownershp2,ownershp3,strctid,strctid_flagsetrm,strctid_Block2020_flagsetrm,addrptid,fd_id_bid,huestimate,huicounter_addpt,placeNAME20,x,y,occtype,geometry,index_right,Site_ID,Site_Name,benz_ppb_p100_ppb,Race Ethnicity
,999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,nsi-481946757-86273V2C+7GJ-3-2-1-2,,,,,,COM4,POINT (-94.128735 30.05072),1.0,2.0,Southeast Beaumont - Hillebrant Bayou/Tenmile Creek-Neches River,0.24768873,
,999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,nsi-481946758-86273V2C+7G6-1-2-2-2,,,,,,COM2,POINT (-94.128735 30.050655),1.0,2.0,Southeast Beaumont - Hillebrant Bayou/Tenmile Creek-Neches River,0.24768873,
,999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,nsi-481946759-86273V2C+4HJ-4-4-4-5,,,,,,COM3,POINT (-94.128618 30.050326),1.0,2.0,Southeast Beaumont - Hillebrant Bayou/Tenmile Creek-Neches River,0.24768873,
B482450022002043H005,482450022002043,482450022002043,482450022002,48245002200,48245.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,3.0,2.0,19138.0,0.0,B482450022002043,1.0,2.0,3.0,1.0,1.0,1.0,ST00nsi-481946760-86273V2C+8RP-3-2-3-2,1.0,1.0,ST00nsi-481946760-86273V2C+8RP-3-2-3-2AP000000,nsi-481946760-86273V2C+8RP-3-2-3-2,2.0,1.0,Beaumont,-94.127926,30.050834,RES3A,POINT (-94.127926 30.050834),1.0,2.0,Southeast Beaumont - Hillebrant Bayou/Tenmile Creek-Neches River,0.24768873,"2 Black alone, Not Hispanic"
B482450022002043H001,482450022002043,482450022002043,482450022002,48245002200,48245.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,10.0,3.0,51199.0,0.0,B482450022002043,1.0,2.0,3.0,1.0,1.0,1.0,ST00nsi-481946761-86273V2C+8JH-3-2-2-1,1.0,1.0,ST00nsi-481946761-86273V2C+8JH-3-2-2-1AP000000,nsi-481946761-86273V2C+8JH-3-2-2-1,1.0,1.0,Beaumont,-94.128385,30.050824,RES1-1SNB,POINT (-94.128385 30.050824),1.0,2.0,Southeast Beaumont - Hillebrant Bayou/Tenmile Creek-Neches River,0.24768873,"1 White alone, Not Hispanic"
B482450022002043H002,482450022002043,482450022002043,482450022002,48245002200,48245.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,11.0,3.0,64279.0,0.0,B482450022002043,1.0,2.0,3.0,1.0,1.0,1.0,ST00nsi-481946762-86273V2C+8PC-2-2-2-2,1.0,1.0,ST00nsi-481946762-86273V2C+8PC-2-2-2-2AP000000,nsi-481946762-86273V2C+8PC-2-2-2-2,1.0,1.0,Beaumont,-94.128244,30.050814,RES1-1SNB,POINT (-94.128244 30.050814),1.0,2.0,Southeast Beaumont - Hillebrant Bayou/Tenmile Creek-Neches River,0.24768873,"2 Black alone, Not Hispanic"
B482450022002043H003,482450022002043,482450022002043,482450022002,48245002200,48245.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,5583.0,1.0,B482450022002043,1.0,2.0,3.0,1.0,1.0,1.0,ST00nsi-481946763-86273V2C+4R4-3-2-2-2,1.0,1.0,ST00nsi-481946763-86273V2C+4R4-3-2-2-2AP000000,nsi-481946763-86273V2C+4R4-3-2-2-2,1.0,1.0,Beaumont,-94.127917,30.050274,RES1-1SWB,POINT (-94.127917 30.050274),1.0,2.0,Southeast Beaumont - Hillebrant Bayou/Tenmile Creek-Neches River,0.24768873,"2 Black alone, Not Hispanic"
B482450022002043H004,482450022002043,482450022002043,482450022002,48245002200,48245.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,3.0,2.0,19005.0,0.0,B482450022002043,1.0,2.0,3.0,1.0,1.0,1.0,ST00nsi-481946764-86273V2C+4Q3-2-1-2-2,1.0,1.0,ST00nsi-481946764-86273V2C+4Q3-2-1-2-2AP000000,nsi-481946764-86273V2C+4Q3-2-1-2-2,1.0,1.0,Beaumont,-94.128083,30.050272,RES1-1SNB,POINT (-94.128083 30.050272),1.0,2.0,Southeast Beaumont - Hillebrant Bayou/Tenmile Creek-Neches River,0.24768873,"2 Black alone, Not Hispanic"
,999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,nsi-481958280-86273W44+MCF-6-6-7-6,,,,,,GOV1,POINT (-94.093965 30.056675),1.0,2.0,Southeast Beaumont - Hillebrant Bayou/Tenmile Creek-Neches River,0.3043085,
,999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,nsi-481958281-86273W44+MCF-6-6-7-6,,,,,,COM4,POINT (-94.093965 30.056675),1.0,2.0,Southeast Beaumont - Hillebrant Bayou/Tenmile Creek-Neches River,0.3043085,
B482450024003000H004,482450024003000,482450024003000,482450024003,48245002400,48245.0,4.0,2.0,6.0,1.0,1.0,0.0,0.0,9.0,3.0,46701.0,0.0,B482450024003000,1.0,2.0,3.0,2.0,2.0,2.0,ST00nsi-481958282-86273W44+R67-4-2-3-3,1.0,1.0,ST00nsi-481958282-86273W44+R67-4-2-3-3AP000000,nsi-481958282-86273W44+R67-4-2-3-3,1.0,1.0,Beaumont,-94.09446,30.057049,RES1-1SNB,POINT (-94.09446 30.057049),1.0,2.0,Southeast Beaumont - Hillebrant Bayou/Tenmile Creek-Neches River,0.3043085,"6 Any Race, Hispanic"
,999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,nsi-481958283-86273W44+Q24-5-4-4-3,,,,,,COM8,POINT (-94.094918 30.056899),1.0,2.0,Southeast Beaumont - Hillebrant Bayou/Tenmile Creek-Neches River,0.3043085,
,999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,nsi-481958284-86273W43+MQV-2-3-3-4,,,,,,COM8,POINT (-94.09559 30.056731),1.0,2.0,Southeast Beaumont - Hillebrant Bayou/Tenmile Creek-Neches River,0.3043085,
B482450024003000H003,482450024003000,482450024003000,482450024003,48245002400,48245.0,6.0,2.0,2.0,0.0,1.0,0.0,0.0,13.0,5.0,111870.0,0.0,B482450024003000,1.0,2.0,3.0,2.0,2.0,2.0,ST00nsi-481958285-86273W44+J7F-4-2-4-3,1.0,1.0,ST00nsi-481958285-86273W44+J7F-4-2-4-3AP000000,nsi-481958285-86273W44+J7F-4-2-4-3,1.0,1.0,Beaumont,-94.09433,30.056551,RES1-2SNB,POINT (-94.09433 30.056551),1.0,2.0,Southeast Beaumont - Hillebrant Bayou/Tenmile Creek-Neches River,0.3043085,"2 Black alone, Not Hispanic"
B482450024003000H001,482450024003000,482450024003000,482450024003,48245002400,48245.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,10.0,3.0,57073.0,0.0,B482450024003000,1.0,2.0,3.0,2.0,2.0,2.0,ST00nsi-481958286-86273W43+GRP-3-2-3-2,1.0,1.0,ST00nsi-481958286-86273W43+GRP-3-2-3-2AP000000,nsi-481958286-86273W43+GRP-3-2-3-2,1.0,1.0,Beaumont,-94.095413,30.056342,RES1-1SNB,POINT (-94.095413 30.056342),1.0,2.0,Southeast Beaumont - Hillebrant Bayou/Tenmile Creek-Neches River,0.3043085,"1 White alone, Not Hispanic"
,999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,nsi-481958287-86273W43+GVX-2-2-3-2,,,,,,RES1-1SWB,POINT (-94.095255 30.056354),1.0,2.0,Southeast Beaumont - Hillebrant Bayou/Tenmile Creek-Neches River,0.3043085,
B482450024003000H005,482450024003000,482450024003000,482450024003,48245002400,48245.0,5.0,2.0,6.0,1.0,1.0,0.0,0.0,5.0,3.0,28644.0,1.0,B482450024003000,1.0,2.0,3.0,2.0,2.0,2.0,ST00nsi-481958288-86273W43+GQ7-2-2-2-2,1.0,1.0,ST00nsi-481958288-86273W43+GQ7-2-2-2-2AP000000,nsi-481958288-86273W43+GQ7-2-2-2-2,1.0,1.0,Beaumont,-94.095577,30.05629,RES1-2SNB,POINT (-94.095577 30.05629),1.0,2.0,Southeast Beaumont - Hillebrant Bayou/Tenmile Creek-Neches River,0.3043085,"6 Any Race, Hispanic"
B482450024003000H002,482450024003000,482450024003000,482450024003,48245002400,48245.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,5.0,3.0,27191.0,0.0,B482450024003000,1.0,2.0,3.0,2.0,2.0,2.0,ST00nsi-481958289-86273W43+GP2-3-2-2-2,1.0,1.0,ST00nsi-481958289-86273W43+GP2-3-2-2-2AP000000,nsi-481958289-86273W43+GP2-3-2-2-2,1.0,1.0,Beaumont,-94.095731,30.056273,RES1-1SNB,POINT (-94.095731 30.056273),1.0,2.0,Southeast Beaumont - Hillebrant Bayou/Tenmile Creek-Neches River,0.2733824,"6 Any Race, Hispanic"
,999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,nsi-481958290-86273W44+H3G-4-2-3-3,,,,,,RES1-1SNB,POINT (-94.094806 30.056446),1.0,2.0,Southeast Beaumont - Hillebrant Bayou/Tenmile Creek-Neches River,0.3043085,
,999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,nsi-481958333-86273VCV+P3G-12-14-13-12,,,,,,COM2,POINT (-94.107285 30.071821),1.0,2.0,Southeast Beaumont - Hillebrant Bayou/Tenmile Creek-Neches River,0.2802902,
,999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,nsi-481958334-86273VCV+P3G-12-14-13-12,,,,,,COM1,POINT (-94.107285 30.071821),1.0,2.0,Southeast Beaumont - Hillebrant Bayou/Tenmile Creek-Neches River,0.2802902,
,999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,nsi-481975775-86273V5M+RMX-2-3-2-7,,,,,,COM1,POINT (-94.115875 30.0596),1.0,2.0,Southeast Beaumont - Hillebrant Bayou/Tenmile Creek-Neches River,0.260391,
